2023-01-01,88
2023-01-08,62
2023-01-15,73
2023-01-22,91
2023-01-29,77
2023-02-05,97
2023-02-12,87
2023-02-19,88
2023-02-26,92
2023-03-05,66
2023-03-12,83
2023-03-19,86
2023-03-26,93
2023-04-02,75
2023-04-09,85
2023-04-16,66
2023-04-23,77
2023-04-30,84
2023-05-07,74
2023-05-14,94
2023-05-21,80
2023-05-28,78
2023-06-04,83
2023-06-11,71
2023-06-18,84
2023-06-25,84
2023-07-02,73
2023-07-09,100
2023-07-16,89
2023-07-23,79
2023-07-30,75
2023-08-06,72
2023-08-13,68
2023-08-20,72
2023-08-27,88
2023-09-03,52
2023-09-10,60
2023-09-17,63
2023-09-24,77
2023-10-01,83
2023-10-08,57
2023-10-15,82
2023-10-22,82
2023-10-29,65
2023-11-05,59
2023-11-12,67
2023-11-19,67
2023-11-26,74
2023-12-03,75
2023-12-10,69
2023-12-17,89
2023-12-24,62
2023-12-31,67
